;24.3.2022;2.4.2023;30.9.2023;6.1.2024;11.3.2024;16.7.2024;8.9.2024;2.2.2025;2.7.2025;31.10.2025;22.3.2026;14.7.2026
Bargeld;10.716 €;10.516 €;10.716 €;10.816 €;2.300 €;2.500 €;2.200 €;2.200 €;4.000 €;3.500 €;3.000 €;2.500 €
Tagesgeld+Sparkonto+Girokonto;85.390 €;88.313 €;125.961 €;108.531 €;125.759 €;150.162 €;159.252 €;129.410 €;37.356 €;49.713 €;40.878 €;70.510 €
Bausparvertrag;8.390 €;8.865 €;9.059 €;9.269 €;9.329 €;9.449 €;9.509 €;9.797 €;0 €;0 €;0 €;0 €
Aktien;48.359 €;60.569 €;71.457 €;80.668 €;89.779 €;105.840 €;103.102 €;167.600 €;296.730 €;351.536 €;360.593 €;429.569 €
Krypto;120.842 €;63.718 €;58.291 €;84.982 €;148.982 €;125.118 €;83.686 €;140.375 €;107.092 €;149.431 €;84.549 €;75.621 €
Gold;13.865 €;14.264 €;13.848 €;14.640 €;15.592 €;17.472 €;17.712 €;21.040 €;22.136 €;27.224 €;31.720 €;27.672 €
Silber;430 €;410 €;400 €;390 €;410 €;520 €;480 €;560 €;460 €;790 €;1.160 €;950 €
Genussrechte Stihl;12.150 €;12.150 €;12.150 €;12.150 €;12.150 €;12.150 €;12.150 €;12.150 €;10.800 €;10.800 €;10.800 €;9.500 €
Steuervorauszahlung;5.132 €;5.132 €;0 €;0 €;0 €;0 €;0 €;0 €;0 €;0 €;0 €;0 €
Steuernachzahlung voraussichtlich;;;;-4.147 €;-4.147 €;-4.147 €;-4.147 €;-11.000 €;-27.000 €;-35.000 €;-25.000 €;-35.000 €
Summe;305.274 €;263.938 €;301.882 €;317.299 €;400.154 €;419.064 €;383.944 €;472.132 €;451.574 €;557.994 €;507.700 €;581.322 €
